Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.8502994011976048,0.8536877355986048,0.8502994011976048,0.8516781407769997
Random Forest,0.8023952095808383,0.7938205037888025,0.8023952095808383,0.7931385521532393
K-Nearest Neighbors,0.8263473053892215,0.8249315343189312,0.8263473053892215,0.8250630954188068
